"participant_genetic_category","colour"
"Africa South","#673AB7"
"Africa West","#B39DDB"
"Africa East","#5C6BC0"
"Africa North","#42A5F5"
"Middle East","#C0CA33"
"Ashkenazi","#006064"
"Mediterranean","#9CCC65"
"Europe East","#85D6A7"
"Europe South West","#2E7D32"
"Europe North West","#4CAF50"
"Finland","#1B5E20"
"Pakistan","#FBC02D"
"Sri Lanka","#F9A852"
"Bangladesh","#FF8F00"
"Philippines","#FFCDD2"
"Asia East","#E53935"
"Japan","#C62828"
"South America","#EC407A"
"Remaining participants","grey70"
