age	Asian, Asian British or Asian Welsh: Bangladeshi Female	Asian, Asian British or Asian Welsh: Bangladeshi Male	Asian, Asian British or Asian Welsh: Chinese Female	Asian, Asian British or Asian Welsh: Chinese Male	Asian, Asian British or Asian Welsh: Indian Female	Asian, Asian British or Asian Welsh: Indian Male	Asian, Asian British or Asian Welsh: Pakistani Female	Asian, Asian British or Asian Welsh: Pakistani Male	Asian, Asian British or Asian Welsh: Other Asian Female	Asian, Asian British or Asian Welsh: Other Asian Male	Black, Black British, Black Welsh, Caribbean or African: African Female	Black, Black British, Black Welsh, Caribbean or African: African Male	Black, Black British, Black Welsh, Caribbean or African: Caribbean Female	Black, Black British, Black Welsh, Caribbean or African: Caribbean Male	Black, Black British, Black Welsh, Caribbean or African: Other Black Female	Black, Black British, Black Welsh, Caribbean or African: Other Black Male	Mixed or Multiple ethnic groups: White and Asian Female	Mixed or Multiple ethnic groups: White and Asian Male	Mixed or Multiple ethnic groups: White and Black African Female	Mixed or Multiple ethnic groups: White and Black African Male	Mixed or Multiple ethnic groups: White and Black Caribbean Female	Mixed or Multiple ethnic groups: White and Black Caribbean Male	Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups Female	Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups Male	White: English, Welsh, Scottish, Northern Irish or British Female	White: English, Welsh, Scottish, Northern Irish or British Male	White: Gypsy or Irish Traveller Female	White: Gypsy or Irish Traveller Male	White: Irish Female	White: Irish Male	White: Roma Female	White: Roma Male	White: Other White Female	White: Other White Male	Other ethnic group: Arab Female	Other ethnic group: Arab Male	Other ethnic group: Any other ethnic group Female	Other ethnic group: Any other ethnic group Male
0	5170	5325	1105	1235	10275	10480	13335	13520	5140	5725	9180	9345	1825	1945	3255	3445	7530	7710	3725	3825	6315	6710	6530	6805	197775	207545	560	670	825	790	605	695	16225	17165	2440	2445	4875	5255
1	5660	5720	1500	1680	10680	10865	14210	14615	5380	6010	10045	10100	2135	2315	3530	3500	7465	8115	3970	4015	6835	7105	6520	6620	204540	216135	650	690	795	780	635	705	17775	18095	2750	2735	5275	5605
2	5680	5825	1570	1690	10985	11285	14215	14325	5555	5785	10345	10515	2355	2160	3410	3600	7645	8240	3930	4155	6645	7190	6410	6580	209995	223125	660	645	805	740	580	640	17575	18465	2860	2825	5465	5720
3	5595	5650	1660	1735	11365	11825	13995	14015	5760	6045	10590	10615	2385	2215	3485	3405	7680	8120	3965	3990	6605	6900	6180	6365	215335	227080	620	710	665	715	610	615	17180	18265	2775	2800	5410	5825
4	6005	6145	2020	2180	11690	12390	14475	15470	6195	6435	11005	11335	2215	2415	3710	3870	8005	8090	3915	4065	6705	6890	6245	6425	221560	233175	630	690	720	745	560	590	17545	18205	2780	3085	5765	6045
5	5825	6045	2005	2120	12060	12765	14290	14865	6090	6460	11645	11530	2295	2505	3625	3955	7745	8185	3995	4060	6615	6965	6115	6160	227290	239700	715	740	690	765	550	540	17515	18315	2950	3120	5990	6325
6	5700	5740	2265	2360	11950	12670	14810	14985	6205	6640	11135	11970	2225	2240	3655	4010	7730	7900	3850	4025	6380	6625	5700	6135	225115	236245	605	620	655	710	540	470	16870	17770	3030	3000	5835	6280
7	5870	6090	2010	2115	12090	12550	14835	15615	6310	6645	11940	11995	2325	2515	3850	4050	7360	7690	3725	4000	6465	6585	5525	5750	229060	240490	605	645	665	685	475	480	16615	17390	2880	2995	5995	6340
8	6040	6135	2455	2625	12175	12595	15135	15845	6655	7005	12555	12645	2640	2660	3855	4265	7675	8025	3880	4005	6660	6970	5760	5970	238785	252330	640	675	740	775	510	575	16880	17520	2925	3150	6075	6520
9	6125	6255	2215	2380	12250	12855	15200	15150	6815	7125	12665	12950	2690	2760	4120	4120	7355	7665	3835	4025	6750	7085	5550	5730	243740	255830	585	660	760	790	595	495	17140	18030	3085	3355	6055	6475
