"phenotype_broad","phenotype","monogenic_likely"
"Cardiovascular disorders","Familial Thoracic Aortic Aneurysm Disease","No"
"Cardiovascular disorders","Hypertrophic Cardiomyopathy","No"
"Cardiovascular disorders","Long QT syndrome","No"
"Cardiovascular disorders","Brugada syndrome","No"
"Cardiovascular disorders","Arrhythmogenic Right Ventricular Cardiomyopathy","No"
"Cardiovascular disorders","Catecholaminergic Polymorphic Ventricular Tachycardia","No"
"Cardiovascular disorders","Familial congenital heart disease","No"
"Cardiovascular disorders","Dilated Cardiomyopathy","No"
"Cardiovascular disorders","Familial Hypercholesterolaemia","Yes"
"Cardiovascular disorders","Left Ventricular Noncompaction Cardiomyopathy","No"
"Cardiovascular disorders","Familial cerebral small vessel disease","No"
"Cardiovascular disorders","Syndromic congenital heart disease","No"
"Cardiovascular disorders","Idiopathic ventricular fibrillation","No"
"Cardiovascular disorders","Primary lymphoedema","Unknown"
"Cardiovascular disorders","Dilated Cardiomyopathy and conduction defects","No"
"Cardiovascular disorders","Meige disease","Unknown"
"Cardiovascular disorders","Milroy disease","Unknown"
"Cardiovascular disorders","Lymphoedema distichiasis","Unknown"
"Cardiovascular disorders","Lipoedema disease","Unknown"
"Cardiovascular disorders","Unexplained sudden death in the young","Unknown"
"Cardiovascular disorders","Severe hypertriglyceridaemia","Unknown"
"Cardiovascular disorders","Pulmonary arterial hypertension","Unknown"
"Cardiovascular disorders","Short QT syndrome","Unknown"
"Ciliopathies","Non-CF bronchiectasis","No"
"Ciliopathies","Rare multisystem ciliopathy disorders","Unknown"
"Ciliopathies","Primary ciliary dyskinesia","Yes"
"Ciliopathies","Joubert syndrome","Unknown"
"Ciliopathies","Bardet-Biedl Syndrome","Yes"
"Dermatological disorders","Severe multi-system atopic disease with high IgE","No"
"Dermatological disorders","Undiagnosed neurocutaneous disorders","Unknown"
"Dermatological disorders","Autosomal recessive congenital ichthyosis","Yes"
"Dermatological disorders","Familial hidradenitis suppurativa","Yes"
"Dermatological disorders","Generalised pustular psoriasis","Unknown"
"Dermatological disorders","Palmoplantar keratoderma and erythrokeratodermas","No"
"Dermatological disorders","Ectodermal dysplasia without a known gene mutation","No"
"Dermatological disorders","Erythropoietic protoporphyria, mild variant","No"
"Dermatological disorders","Familial cicatricial alopecia","Unknown"
"Dermatological disorders","Familial disseminated superficial actinic porokeratosis","Unknown"
"Dermatological disorders","Epidermolysis bullosa","Unknown"
"Dermatological disorders","Non-syndromic hypotrichosis","Unknown"
"Dermatological disorders","Peeling skin syndrome","Unknown"
"Dermatological disorders","Hydroa vacciniforme","No"
"Dysmorphic and congenital abnormality syndromes","Noonan syndrome plus other features","Unknown"
"Dysmorphic and congenital abnormality syndromes","Non-Fanconi anaemia","Unknown"
"Dysmorphic and congenital abnormality syndromes","Coarse facial features including Coffin-Siris-like disorders","Yes"
"Dysmorphic and congenital abnormality syndromes","Primary Microcephaly - Microcephalic Dwarfism Spectrum","Unknown"
"Dysmorphic and congenital abnormality syndromes","Balanced translocations with an unusual phenotype","Unknown"
"Dysmorphic and congenital abnormality syndromes","Kabuki syndrome","Yes"
"Dysmorphic and congenital abnormality syndromes","Noonan syndrome","Yes"
"Dysmorphic and congenital abnormality syndromes","Syndromic cleft lip and or cleft palate","Unknown"
"Dysmorphic and congenital abnormality syndromes","Familial non-syndromic cleft lip and or familial cleft palate","Unknown"
"Dysmorphic and congenital abnormality syndromes","VACTERL-like phenotypes","No"
"Dysmorphic and congenital abnormality syndromes","Radial dysplasia","Unknown"
"Dysmorphic and congenital abnormality syndromes","PHACE(S) syndrome","Yes"
"Dysmorphic and congenital abnormality syndromes","Unexplained monogenic fetal disorders","Yes"
"Dysmorphic and congenital abnormality syndromes","Fetal hydrops","Unknown"
"Dysmorphic and congenital abnormality syndromes","Vici Syndrome and other autophagy disorders","Unknown"
"Dysmorphic and congenital abnormality syndromes","Cockayne syndrome","Yes"
"Dysmorphic and congenital abnormality syndromes","Legius syndrome","Yes"
"Dysmorphic and congenital abnormality syndromes","Xeroderma Pigmentosum-like disorders","Unknown"
"Dysmorphic and congenital abnormality syndromes","Cardio-facio-cutaneous syndrome","Yes"
"Dysmorphic and congenital abnormality syndromes","Costello syndrome","Yes"
"Dysmorphic and congenital abnormality syndromes","LEOPARD syndrome","Yes"
"Endocrine disorders","Diabetes with additional phenotypes suggestive of a monogenic aetiology","Yes"
"Endocrine disorders","Congenital adrenal hypoplasia","Yes"
"Endocrine disorders","IUGR and IGF abnormalities","Yes"
"Endocrine disorders","Significant early-onset obesity with or without other endocrine features and short stature","Yes"
"Endocrine disorders","Disorders of sex development","Yes"
"Endocrine disorders","Hyperinsulinism","No"
"Endocrine disorders","Familial or syndromic hypoparathyroidism","Yes"
"Endocrine disorders","Familial young-onset non-insulin-dependent diabetes","No"
"Endocrine disorders","Insulin resistance (including lipodystrophy)","Unknown"
"Endocrine disorders","Idiopathic hypogonadotropic hypogonadism","Unknown"
"Endocrine disorders","Early onset familial premature ovarian insufficiency","Unknown"
"Endocrine disorders","Resistance to thyroid hormone","No"
"Endocrine disorders","Congenital hypothyroidism","No"
"Endocrine disorders","Multi-organ autoimmune diabetes","No"
"Gastroenterological disorders","Infantile enterocolitis and monogenic inflammatory bowel disease","No"
"Gastroenterological disorders","Ductal plate malformation","Unknown"
"Gastroenterological disorders","Familial Hirschsprung Disease","Unknown"
"Gastroenterological disorders","Early onset or familial intestinal pseudo obstruction","Unknown"
"Gastroenterological disorders","Non-syndromic familial congenital anorectal malformations","Unknown"
